Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,OrderStatus,1732838215.668495,964,9,1
2,Payment,1732838215.669119,2041,7,1
2,Payment,1732838215.669464,1933,9,1
3,OrderStatus,1732838215.669581,980,4,1
2,Payment,1732838215.669934,2676,1,1
2,Payment,1732838215.670577,2130,4,1
2,Payment,1732838215.671166,2345,7,1
1,NewOrder,1732838215.671264,6655,5,1
1,NewOrder,1732838215.671269,5286,8,1
1,NewOrder,1732838215.671406,11599,9,1
2,Payment,1732838215.672615,2234,1,1
2,Payment,1732838215.672710,2294,4,1
1,NewOrder,1732838215.673032,8343,6,1
2,Payment,1732838215.673515,1979,7,1
2,Payment,1732838215.674853,2269,1,1
2,Payment,1732838215.675008,2012,4,1
1,NewOrder,1732838215.675017,10294,2,1
1,NewOrder,1732838215.675497,17716,7,1
2,Payment,1732838215.676559,1958,8,1
2,Payment,1732838215.677023,2110,4,1
1,NewOrder,1732838215.677125,6894,1,1
2,Payment,1732838215.677316,2211,0,1
2,Payment,1732838215.677923,9972,5,1
2,Payment,1732838215.678521,2740,8,1
2,Payment,1732838215.679138,3053,4,1
2,Payment,1732838215.679530,3241,0,1
2,Payment,1732838215.681264,2009,8,1
1,NewOrder,1732838215.681379,5500,6,1
4,Delivery,1732838215.682195,17120,4,1
1,NewOrder,1732838215.682773,6201,0,1
1,NewOrder,1732838215.683008,6620,9,1
2,Payment,1732838215.683276,1910,8,1
2,Payment,1732838215.684024,2079,1,1
1,NewOrder,1732838215.685188,6535,8,1
2,Payment,1732838215.685314,1856,2,1
1,NewOrder,1732838215.686106,7435,1,1
1,NewOrder,1732838215.686883,7057,6,1
1,NewOrder,1732838215.687173,9844,2,1
1,NewOrder,1732838215.687898,5022,5,1
4,Delivery,1732838215.688976,18657,0,1
1,NewOrder,1732838215.689632,6487,9,1
1,NewOrder,1732838215.691690,7356,3,1
1,NewOrder,1732838215.691726,6154,8,1
1,NewOrder,1732838215.692924,5120,5,1
2,Payment,1732838215.693215,1995,7,1
2,Payment,1732838215.693546,2044,1,1
4,Delivery,1732838215.693942,17390,6,1
1,NewOrder,1732838215.695214,6829,7,1
2,Payment,1732838215.695594,2131,1,1
1,NewOrder,1732838215.696123,8146,9,1
1,NewOrder,1732838215.697021,4855,2,1
1,NewOrder,1732838215.697729,9404,1,1
2,Payment,1732838215.697884,1933,8,1
2,Payment,1732838215.698046,2152,5,1
1,NewOrder,1732838215.699050,5486,3,1
2,Payment,1732838215.699318,2101,4,1
1,NewOrder,1732838215.699822,7619,8,1
1,NewOrder,1732838215.700201,10186,5,1
